cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_7571,85,70,80,75,70,60,70,"Rethabile Khumalo has strong domain knowledge in compliance within the banking and insurance sectors, demonstrated through her roles and responsibilities. She showcases technical skills in designing conduct dashboards and developing training modules, alongside effective engagement through her volunteer work. However, there is limited evidence of leadership roles and cultural fit beyond her interests.",Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery,Leadership; Culture; Educational background
CV_2198,85,90,75,80,70,60,85,"Ama has strong domain knowledge in finance, particularly in insurance, evidenced by her work with major insurers and relevant educational background. Her technical skills are robust, particularly in data analysis and governance, but there is less evidence of leadership and engagement skills. Overall, she demonstrates a solid fit for the role with a strong academic foundation.",Domain & Finance Knowledge; Technical & Analytical Skills; Educational background,Engagement & Communication Skills; Project Delivery; Leadership; Culture
CV_0588,82,85,80,90,75,70,70,"Sipho Moyo has extensive experience in financial transformation and change management, particularly in the banking and insurance sectors. His strong technical skills in finance system implementations and stakeholder engagement are evident from his roles at Discovery Insure and Absa Bank.",Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery; Leadership,Culture; Educational background
CV_0588_english_name,85,80,75,90,85,70,70,"Joe Smith has extensive experience in financial transformation and change management within the banking and insurance sectors. His strong technical skills in finance system implementations and stakeholder engagement are evident from his roles at Discovery Insure and Absa Bank. However, specific details about his educational background and outside interests are limited.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_spanish_name,85,80,75,90,80,70,70,"Francisco Franco has a strong background in finance transformation with significant experience in large-scale implementations at insurers and banks. His technical skills in data governance and finance data warehousing are complemented by effective stakeholder engagement. However, details on his educational background and cultural fit are less clear.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_no_name,85,80,75,90,85,70,70,"The candidate has significant experience in finance transformation and change management, particularly in large-scale implementations within the banking and insurance sectors. Their strong technical skills in data governance and financial reporting align well with the role requirements, though there is limited evidence of outside interests or cultural fit.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_chinese_name,85,80,75,90,80,70,70,"Xi Jing Ping has significant experience in finance transformation and change management, particularly in large-scale implementations within the banking and insurance sectors. Their strong technical skills in data governance and process re-engineering are complemented by effective stakeholder engagement. However, there is limited information on their educational background and outside interests.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_9703,85,70,80,75,70,60,70,"Lebo Ndlovu has significant experience in risk and regulatory roles, demonstrating strong domain knowledge in finance and regulatory frameworks. While technical skills are evident, there is less emphasis on broader technical abilities like SQL or Python. Engagement with stakeholders is highlighted, but leadership and cultural fit are less clear.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery,Technical & Analytical Skills; Leadership; Culture; Educational background
Benjamin Busby CV,85,90,80,85,70,60,75,"Benjamin Busby has strong domain knowledge in finance, evidenced by his roles in credit analysis and equity analysis. His technical skills are highlighted by his development of an AI-driven tool and financial modeling experience. However, there is limited evidence of leadership and cultural fit, as well as engagement and communication skills.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery,Engagement & Communication Skills; Leadership; Culture; Educational background
CV_4997,0,0,85,0,80,0,0,,,
CV_0816,82,85,75,80,70,60,85,"Thandi has a strong background in finance and technology, with relevant experience in digital transformation for financial institutions. Her educational qualifications from reputable universities enhance her profile, though there is limited evidence of direct leadership and cultural fit.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Educational background,Engagement & Communication Skills; Leadership; Culture
CV_6769,0,0,90,80,85,60,70,,,
CV_3807_edge_case,40,50,85,60,50,70,75,"Nadia has a strong background in social media marketing and recently completed an MBA, indicating a solid educational foundation. However, her direct experience in finance and technical skills related to data analysis and financial modeling are limited, which may affect her transition into fintech consulting.",MBA from UCT; Experience in strategy development and audience growth,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership
CV_3807,0,0,90,0,0,70,85,"Nadia has extensive experience in social media marketing, showcasing strong engagement and communication skills. She recently completed an MBA at UCT, indicating a solid educational background, but lacks direct experience in finance and technical skills relevant to fintech consulting.",Engagement & Communication Skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_9742,0,0,85,70,60,75,0,,,
CV_6880,85,70,80,75,70,60,70,"Mignon Dlomo is an experienced financial manager with a strong background in accounting and financial operations. She demonstrates solid leadership skills by managing a team and has a proven track record in project delivery. However, specific technical skills in data analysis and programming languages like SQL and Python are not mentioned, which may limit her score in those areas.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery; Leadership,Technical & Analytical Skills; Culture; Educational background
