cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_7571,80,70,75,80,75,70,70,"Rethabile Khumalo has strong domain knowledge in compliance within the banking and insurance sectors, demonstrated through her roles and responsibilities. She shows solid technical skills in designing dashboards and managing compliance, alongside good project delivery and leadership experience. However, there is limited evidence of engagement and communication skills, as well as specific educational background details.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_2198,82,90,75,80,70,65,85,"Ama has a strong background in data analytics within the insurance sector, showcasing solid technical skills and a good educational foundation. However, there is limited evidence of leadership and engagement skills in team settings.",data governance; predictive modelling; BSc and MSc degrees,leadership experience; specific examples of engagement and communication skills; project delivery details
CV_0588,85,80,75,90,80,70,70,"Sipho Moyo has extensive experience in finance transformation and change management within the banking and insurance sectors. His strong technical skills in finance system implementations and stakeholder engagement are evident from his roles at Discovery Insure and Absa Bank. However, specific details about outside interests and educational background are not provided.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_0588_english_name,85,80,75,90,85,70,75,"Joe Smith has extensive experience in finance transformation and change management, particularly in the banking and insurance sectors. His strong technical skills in data governance and financial reporting align well with the role requirements. However, there is limited evidence of outside interests or skills that contribute to team culture.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_9703,85,70,80,75,70,60,70,"Lebo Ndlovu has strong domain knowledge in risk and regulatory frameworks, particularly in Basel III/IV and prudential regulation. Their experience in stakeholder engagement and project delivery is notable, although technical skills in data analysis and programming are less emphasized. Cultural fit and educational background details are limited, suggesting areas for further exploration.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery,Technical & Analytical Skills; Leadership; Culture; Educational background
Benjamin Busby CV,85,90,80,85,75,70,80,"Benjamin Busby has a strong background in finance with experience in banking and investment analysis. His technical skills are highlighted by the development of an AI-driven tool using Python, showcasing his analytical capabilities. While he demonstrates good engagement and project delivery skills, there is limited evidence of leadership and cultural fit outside of work-related interests.",Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery,Leadership; Culture; Educational background
CV_4997,0,0,90,0,80,0,0,,,
CV_0816,82,85,75,80,70,70,85,"Thandi Molefe has a strong background in digital transformation within the banking and insurance sectors, showcasing solid technical skills in automation and AI. Her educational qualifications from reputable universities further enhance her profile, although there is limited evidence of direct leadership experience and cultural fit.",Domain & Finance Knowledge; Technical & Analytical Skills; Educational background,Engagement & Communication Skills; Project Delivery; Leadership; Culture
CV_6769,0,0,90,80,85,70,70,,,
CV_3807_edge_case,40,30,85,50,40,70,85,"Nadia has extensive experience in social media marketing and a recent MBA from UCT, indicating a strong educational background. However, her domain knowledge in finance and technical skills related to data analysis and financial modeling are not clearly demonstrated, which may hinder her transition into fintech consulting.",MBA from UCT; 18 years of experience in digital campaigns; Strong engagement and communication skills,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership
