cv_id,domain_finance,technical_analytical,engagement_communication,project_delivery,leadership,culture,education,summary,met,missing
CV_7571,85,70,80,75,70,60,70,"Rethabile Khumalo has strong domain knowledge in compliance within the banking and insurance sectors, demonstrated through her roles and responsibilities. She shows solid technical skills in developing compliance frameworks and training modules, along with good engagement abilities through her volunteer work. However, there is limited evidence of leadership and cultural fit, and educational background details are incomplete.",Domain & Finance Knowledge; Technical & Analytical Skills; Engagement & Communication Skills; Project Delivery,Leadership; Culture; Educational background
CV_2198,85,90,75,80,70,60,85,"Ama has a strong background in data analytics within the insurance sector, showcasing solid technical skills and a good educational foundation. However, there is limited evidence of leadership and cultural fit based on outside interests.",data governance; predictive modelling; BSc and MSc degrees,engagement in team environments; leadership experience; demonstrable outside interests
CV_0588,85,80,75,90,85,70,70,"Sipho Moyo has extensive experience in finance transformation and change management within the banking and insurance sectors, demonstrating strong project delivery and leadership skills. His technical abilities in data governance and financial reporting align well with the role requirements, though specific details on stakeholder engagement and cultural fit are less clear.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership,Engagement & Communication Skills; Culture; Educational background
CV_9703,85,70,80,75,70,60,70,"Lebo Ndlovu has substantial experience in risk and regulatory roles, demonstrating strong domain knowledge in finance and effective stakeholder engagement. However, there is limited evidence of technical skills in data analysis and programming, as well as cultural fit and educational background specifics.",Domain & Finance Knowledge; Engagement & Communication Skills; Project Delivery,Technical & Analytical Skills; Leadership; Culture; Educational background
Benjamin Busby CV,85,90,80,85,70,60,75,"Benjamin Busby demonstrates strong finance knowledge through his roles in banking and investment analysis. His technical skills are highlighted by his experience with Python and data analytics tools. However, there is limited evidence of leadership and cultural fit, as well as engagement skills in team settings.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery,Engagement & Communication Skills; Leadership; Culture; Educational background
CV_4997,0,0,90,0,85,0,0,,,
CV_0816,82,88,75,80,70,70,85,"Thandi Molefe has a strong background in finance and technology, with relevant experience in digital transformation for banking and insurance. Her educational qualifications from reputable institutions further enhance her profile.",Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Educational background,Engagement & Communication Skills; Leadership; Culture
CV_6769,0,0,90,80,85,60,70,"The candidate demonstrates strong communication and leadership skills, with a solid educational background from the University of Cape Town. However, there is no evidence of domain and finance knowledge, technical skills, or project delivery experience.",Engagement & Communication Skills; Leadership; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Culture
CV_3807_edge_case,40,30,85,50,40,70,80,"Nadia has significant experience in digital marketing and a recent MBA from UCT, which provides a solid educational background. However, her direct experience in finance and technical skills related to data analysis and financial modeling are limited, impacting her scores in those areas.",Engagement & Communication Skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
CV_3807,0,0,90,0,0,70,85,"Nadia has extensive experience in digital marketing and a recent MBA from UCT, indicating a strong educational background. However, her domain knowledge in finance and technical skills relevant to fintech consulting appear to be lacking based on the provided information.",Engagement & Communication Skills; Educational background,Domain & Finance Knowledge; Technical & Analytical Skills; Project Delivery; Leadership; Culture
